table_simplimed_old;fieldname;table_simplimed_new;fieldname;comment;
Tabelle_Abre;Betrag;tbl_receipt_content;fld_unit_price;;
Tabelle_Abre;GesBetrag;tbl_receipt_content;fld_total_price;;
Tabelle_Abre;Steuer;tbl_receipt_content;fld_tax_rate;;
Tabelle_Abre;Analog;tbl_receipt_content;fld_analog_flag;;
Tabelle_Abre;Lock;tbl_receipt_content;fld_lock;;
Tabelle_Abre;Gedruckt;tbl_receipt_content;fld_print;;
Tabelle_Abre;Storniert;tbl_receipt_content;fld_passive;;
;;;;;
Tabelle_AbreRe;ID1;tbl_receipt_main;fld_id;will be reassigned;
Tabelle_AbreRe;GuiID;tbl_receipt_main;fld_guiid;will be reassigned;
Tabelle_AbreRe;ID0;tbl_receipt_main;fld_contact_id;will be reassigned;
Tabelle_AbreRe;IDP;tbl_receipt_main;fld_tenant_id;will be reassigned;
Tabelle_AbreRe;IDZ;tbl_receipt_main;fld_payment_id;will be reassigned;
Tabelle_AbreRe;W‰hrung;tbl_receipt_main;fld_currencies_id;will be reassigned;
Tabelle_AbreRe;Versand;tbl_receipt_main;fld_dispatch_id;will be reassigned;
Tabelle_AbreRe;Type;tbl_receipt_main;fld_type_id;will be reassigned;
Tabelle_AbreRe;GutNr;tbl_receipt_main;fld_fld_credit_note_id;;
Tabelle_AbreRe;RechNr;tbl_receipt_main;fld_receipt_number;;
Tabelle_AbreRe;GuStr;tbl_receipt_main;fld_credit_note_number;;
Tabelle_AbreRe;Datum;tbl_receipt_main;fld_receipt_date;;
Tabelle_AbreRe;Fallig;tbl_receipt_main;fld_due_date;;
Tabelle_AbreRe;Berichtdatum;tbl_receipt_main;fld_date_published;;
Tabelle_AbreRe;GesBetrag;tbl_receipt_main;fld_receipt_amount;;
Tabelle_AbreRe;Bezahlt;tbl_receipt_main;fld_amount_paid;;
Tabelle_AbreRe;Rabatt;tbl_receipt_main;fld_credit_balance;;
Tabelle_AbreRe;Steuer;tbl_receipt_main;fld_tax_rate;;
Tabelle_AbreRe;Kopie;tbl_receipt_main;fld_copies;;
Tabelle_AbreRe;Selekt;tbl_receipt_main;fld_completed;;
Tabelle_AbreRe;Storniert;tbl_receipt_main;fld_passive;;
;;;;;
Tabelle_JourBuch;ID0;tbl_bookkeeping;fld_id;will be reassigned;
Tabelle_JourBuch;GuiID;tbl_bookkeeping;fld_guiid;will be reassigned;
